Infinitivo,Pasado simple,Participio pasado,Español
Awake,Awoke,Awoken,Despertarse
Be ,Was / Were,Been,Ser / Estar
Bear,Bore,Borne / Born,Soportar / Dar a luz
Beat,Beat,Beaten,Golpear
Become,Became,Become,Llegar a ser
Begin,Began,Begun,Empezar
Bend,Bent,Bent,Doblar
Bet,Bet,Bet,Apostar
Bind,Bound,Bound,Atar / Encuadernar
Bid,Bid,Bid,Pujar
Bleed,Bled,Bled,Sangrar
Blow,Blew,Blown,Soplar
Break,Broke,Broken,Romper
Bring,Brought,Brought,Traer / Llevar
Build,Built,Built,Edificar
Burn,Burnt / Burned,Burnt / Burned,Quemar
Burst,Burst,Burst,Reventar
Buy,Bought,Bought,Comprar
Catch,Caught,Caught,Coger
Come,Came,Come,Venir
Cost,Cost,Cost,Costar
Cut,Cut,Cut,Cortar
Choose,Chose,Chosen,Elegir
Deal,Dealt,Dealt,Tratar
Dig,Dug,Dug,Cavar
Do (Does),Did,Done,Hacer
Draw,Drew,Drawn,Dibujar
Dream,Dreamt / Dreamed,Dreamt / Dreamed,Soñar
Drink,Drank,Drunk,Beber
Drive,Drove,Driven,Conducir
Eat,Ate,Eaten,Comer
Fall,Fell,Fallen,Caer
Feed,Fed,Fed,Alimentar
Feel,Felt,Felt,Sentir
Fight,Fought,Fought,Luchar
Find,Found,Found,Encontrar
Flee,Fled,Fled,Huir
Fly,Flew,Flown,Volar
Forbid,Forbade,Forbidden,Prohibir
Forget,Forgot,Forgotten,Olvidar
Forgive,Forgave,Forgiven,Perdonar
Freeze,Froze,Frozen,Helar
